Rui_ro,Nguyen_Lieu,So_cua,chieu_dai,Chieu_rong,Chieu_cao,Can_nang,Kich_thuoc,Ma_luc,Vong_tua,Gia
0,1,4,186.7,68.4,56.7,3020,120,97,5000,11900
1,1,2,150,64,52.6,1940,92,76,6000,6529
1,1,2,168.7,64,52.6,2300,98,112,6600,9538
0,2,4,198.9,68.4,58.7,3430,152,95,4150,13860
2,1,2,144.6,63.9,50.8,1713,92,58,4800,6479
1,1,2,168.7,64,52.6,2204,98,70,4800,8238
2,2,4,171.7,65.5,55.7,2264,97,52,4800,7995
0,1,4,175,66.1,54.4,2700,134,72,4200,18344
0,1,2,193.8,67.9,53.7,3380,209,182,5400,41315
0,1,4,169.7,63.6,59.1,3110,92,62,4800,8778
1,1,2,169.1,66,51,2293,110,100,5500,10345
0,1,4,175.4,65.2,54.1,2465,110,101,5800,12945
0,1,4,177.8,66.5,55.5,2410,122,84,4800,8495
1,1,4,166.8,64.2,54.1,1945,91,68,5000,6695
1,1,4,192.7,71.4,55.9,3086,131,140,5500,23875
0,1,4,155.9,63.6,52,1909,90,70,5400,8916.5
1,1,2,199.2,72,55.4,3715,304,184,4500,45400
1,1,4,157.3,63.8,50.6,1967,90,68,5500,6229
3,1,2,169,65.7,49.6,2380,70,101,6000,11845
0,2,4,166.3,64.4,52.8,2275,110,56,4500,7788
1,1,2,157.3,63.8,50.6,2191,98,102,5500,8558
1,1,2,178.4,68,54.8,2910,140,175,5000,16503
1,1,4,192.7,71.4,55.7,2954,136,110,5500,18920
0,2,4,198.9,68.4,58.7,3485,152,95,4150,17075
0,1,2,187.5,70.3,54.9,3495,183,123,4350,28176
3,1,2,170.7,67.9,49.7,3139,181,200,5200,19699
0,1,4,173.5,65.4,53,2455,108,94,5200,10198
3,1,2,183.5,67.7,52,2976,171,161,5200,16558
0,1,2,191.7,70.6,47.8,3950,326,262,5000,36000
-1,1,4,175.6,66.5,54.9,2326,122,92,4200,8948
1,1,4,158.7,63.6,54.5,2015,92,62,4800,6488
0,1,4,173.6,65.4,54.9,2650,108,111,4800,11694
3,1,2,186.6,66.5,56.1,2658,121,110,5250,11850
0,1,4,189,66.9,55.7,3230,209,182,5400,30760
0,1,4,184.6,66.5,55.1,3060,181,152,5200,13499
1,1,2,177.8,66.5,53.7,2385,122,84,4800,8845
1,1,2,177.8,66.5,53.7,2385,122,84,4800,10595
0,2,4,186.7,68.4,56.7,3252,152,95,4150,16900
1,1,2,175.7,72.3,50.5,3366,203,288,5750,31400.5
0,1,4,199.6,69.6,52.8,4066,258,176,4750,35550
2,2,4,171.7,65.5,55.7,2319,97,68,4500,9495
-1,1,4,202.6,71.7,56.5,3740,234,155,4750,34184
1,1,2,157.3,63.8,50.8,2145,98,102,5500,7689
2,1,2,176.8,64.8,54.3,2395,108,101,5800,16430
1,1,2,165.3,63.8,54.5,2017,103,55,4800,7099
2,1,4,176.6,66.4,54.3,2824,136,115,5500,17450
1,1,4,166.8,64.2,54.1,1950,91,68,5000,7395
0,1,4,180.2,66.9,55.1,2661,136,110,5500,13295
-1,1,4,175.6,66.5,53.9,2458,122,92,4200,11248
1,1,4,157.3,63.8,50.6,1989,90,68,5500,6692
0,1,4,173.5,65.4,53,2290,108,82,4800,7463
-1,1,4,188.8,67.2,57.5,3042,141,114,5400,16515
2,1,2,141.1,60.3,53.2,1488,61,48,5100,5151
0,1,4,181.5,66.5,55.2,2579,132,90,5100,9295
3,1,2,168.9,65,51.6,2756,194,207,5900,32528
1,1,2,168.7,64,52.6,2169,98,70,4800,8058
2,1,4,186.6,66.5,56.1,2758,121,110,5250,15510
0,1,4,186.7,68.4,56.7,3075,120,97,5000,16630
2,1,2,176.8,66.6,50.5,2460,132,90,5100,9895
3,1,2,168.9,65,51.6,2800,194,207,5900,37028
1,1,4,167.3,63.8,50.8,1989,90,68,5500,6692
0,1,4,173.6,65.4,54.9,2420,108,82,4800,8013
-2,1,4,188.8,67.2,56.2,2912,141,114,5400,12940
0,1,4,175.4,62.5,54.1,2372,110,86,5800,10295
0,1,4,177.8,66.5,55.5,2410,122,84,4800,10245
1,1,2,155.9,63.6,52,1874,90,70,5400,6295
3,1,2,173,65.4,49.4,2328,122,88,5000,8499
0,1,4,186.7,68.4,56.7,3075,120,95,5000,15580
2,1,4,186.6,66.5,56.1,2695,121,110,5250,12170
2,1,2,157.3,64.4,50.8,1918,92,68,5500,5389
2,1,2,176.2,65.6,52,2536,146,116,4800,9639
3,1,2,168.8,64.1,48.8,2548,130,111,5000,13495
2,1,4,171.7,65.5,55.7,2275,109,85,5250,8495
2,1,2,176.2,65.6,52,2714,146,116,4800,11549
0,1,4,169.7,63.6,59.1,2280,92,62,4800,6918
1,1,4,157.3,63.8,50.6,1967,90,68,5500,6229
