TB_ThuNhapKhuVuc,TB_tuoinha,TB_dientich,TB_sophong,Dansokhuvuc,Gia
65950.34702,5.476513158,6.717844306,3.28,40110.8476,1200961.821
74533.16208,6.67935313,5.919230725,4,49481.56581,1520234.229
66422.91905,7.12207185,7.078583745,6.36,31019.32482,1360908.32
74334.49485,5.419012564,6.261535284,4.12,41640.43566,1360920.53
63538.34616,4.764499308,7.168662411,3.27,43282.183,1146532.455
83953.10484,7.385134534,6.898846569,3.08,37283.35765,1789098.521
57279.06358,5.118108905,6.561520216,3.17,44023.79068,852099.464
56553.55025,5.691129213,7.021252354,3.15,29682.40986,746096.7289
75795.57598,5.786780024,7.327325343,6.25,33197.77774,1534479.907
70848.78866,5.28232502,6.766444664,3.27,40458.73587,1215608.531
59787.4045,5.653120316,6.594592279,3.43,32402.10755,941594.3284
64826.37189,4.010907337,8.290419813,4.38,60286.0431,1204598.037
65925.8538,7.605511954,7.070409541,3.28,34171.36007,1597655.258
64419.25264,6.954422126,8.516160048,6.16,39318.17075,1492011.496
58544.4603,8.562610576,7.276308629,4.28,30865.58695,1421216.504
68791.79169,4.725552228,6.704201604,4.11,48423.32244,1132522.901
82061.5652,4.182828228,5.963031884,4.1,36271.4085,1102821.438
80659.52544,5.436306202,7.100753432,6.24,52947.03636,1856211.35
66668.09352,6.184965339,7.863127437,3.35,47075.21223,1687998.933
64721.5645,5.677637527,6.971331701,4.48,36115.81636,1063423.007
65199.98994,6.445742898,6.937127028,3.2,28366.03543,1177289.886
74579.98953,4.639654131,5.521489299,3.07,42806.14664,1173474.379
76273.67033,7.879751801,4.500165348,3.39,46974.57879,1637259.999
67561.94206,5.251400747,7.658576339,4.04,35517.54187,1238938.291
48904.98327,4.844972531,5.44895603,3.38,32960.75307,201898.0866
72145.96721,6.39862599,8.258634923,6.06,28882.90085,1439506.102
70805.61068,4.443728924,5.809147306,3.3,29268.82674,585608.6326
65383.33792,7.512526779,6.640032004,3.46,35114.40246,1294685.159
95450.29309,6.595060685,6.850361008,3.33,39388.51552,2014851.344
73698.69636,6.372730932,6.578352074,4.33,51815.09642,1840236.006
66263.9105,6.374930066,6.736974131,4.41,49829.9515,1441421.913
75394.75958,6.933352468,7.834099801,4.48,22268.07531,1498640.551
65984.75064,6.512270085,6.31648002,2.38,21867.47694,954746.5764
66477.26279,6.982151725,6.038487979,2.37,32458.9867,1124635.932
69284.25964,5.347447091,7.173425885,3.45,40282.72428,1169944.248
70404.4961,5.544083726,6.001261362,2.02,37127.9255,1114430.953
74218.48902,8.069721867,6.506374302,4.37,46770.66097,1783534.839
63441.71465,6.471673727,7.064811136,3.22,48061.75267,1302933.248
57493.92457,6.893260157,6.734045416,4.41,47039.21532,1241483.612
81543.77732,5.503923196,5.897052836,2.14,9816.300885,954114.544
78633.97376,5.465393231,7.531143012,3.24,43728.80349,1555320.5
52202.85372,4.869306181,4.414380866,2.23,42165.81246,404976.3659
67980.38878,5.562938814,6.159705222,2.44,25909.0792,1073183.76
78568.44916,5.47573732,6.291600796,2.29,41016.64709,1422195.879
55472.65483,4.822147136,5.855972309,3.2,15353.95643,340605.2113
67579.23479,5.973219004,7.754357545,6.32,21762.94969,1170959.526
61456.1507,6.882954326,6.417572622,4.19,30821.41209,942838.1647
60815.39039,7.17012853,7.984335122,4.11,31233.64935,1401613.92
51217.18116,5.384841407,8.776160034,3.41,47089.47508,1175504.486
63027.67471,4.855968121,5.580905937,2.3,35991.72064,608794.2467
62484.8553,6.496651466,7.322709774,5.13,26882.65179,946943.0362
73923.46627,7.005505785,7.135063347,6.04,58745.31203,1819900.637
79737.60976,7.315957927,6.611096005,2.17,28307.31433,1463130.273
63890.47157,4.972306568,7.916386397,5.49,43416.49782,1252391.18
67310.03695,7.193792989,7.760732555,5.28,43310.61243,1714445.175
73145.73022,4.096517243,7.254217433,3.18,49463.37888,1291759.393
86924.35877,6.832939699,7.738295553,6.32,28719.41089,1809154.289
74384.10563,7.411486571,5.164865476,2.3,17117.44367,1200539.361
67477.78818,6.623528293,7.91617166,5.1,29763.92535,1300265.21
71202.95692,4.318869133,6.634954066,4.37,34207.39721,997448.7281
85845.3178,6.743652961,9.468766369,3.46,46477.67868,2152959.409
72138.87048,7.163640935,8.485778263,5.45,35799.63827,1629983.847
44806.00516,4.494570528,4.725325117,3.1,57390.89007,497579.4466
67504.17846,5.329798509,5.894411949,4.36,37441.12054,890112.5493
74706.10053,5.003327764,5.661064127,2.05,39680.60932,1064685.699
68898.34591,6.787648529,7.871352644,6.39,39515.57156,1530124.016
58118.01816,8.137214471,5.650900286,4.36,35598.39044,1246246.828
77643.28309,6.070115922,5.381038359,4.45,35512.25505,1240754.932
67769.82559,8.074693668,6.761631408,4.22,33254.60341,1760734.69
74411.05989,5.534627544,7.210123361,6.44,43537.50295,1393746.76
73101.0788,4.104129923,8.920333221,4.35,29497.97129,1172385.898
58708.41716,5.083861036,6.262825884,4.07,15969.92604,483986.109
63876.05991,7.080219326,7.187432975,3.37,38052.87644,1388530.157
68343.15409,6.39244379,8.425112895,6.2,40653.87007,1721739.384
73064.97996,5.994062799,7.204368895,6.19,30699.33971,1276448.792
67367.26808,6.774710809,6.690894899,2.49,32547.27253,1161742.677
66547.18175,6.350672042,5.305000412,2.04,16741.96499,786407.9451
73313.54538,6.414723236,8.492901229,4.46,37808.99667,1604920.973
47681.36173,6.890508224,7.788267986,5.13,50908.97891,1230149.137
67910.94913,6.445851907,6.675937268,4.32,31379.78297,1051644.554
69277.89125,6.142591681,7.811724471,5.15,43717.91309,1415073.614
67946.71468,5.403175673,5.671136343,3.21,35197.94257,1043483.915
90975.11327,4.740683035,8.320351986,6.45,44426.21365,1544379.748
61885.54644,5.405265969,6.91419577,3.22,48726.9513,1352135.967
69401.84722,7.042354995,8.097044285,3.44,29293.07405,1505727.431
72969.12127,6.188575726,8.076943604,4.2,31755.72136,1416965.979
75582.45976,5.506473429,6.774986419,4.33,31946.30387,1046721.976
56241.22677,5.623087016,6.818670754,2.18,32745.36812,939040.0036
79412.83547,6.087360169,7.481321112,3.26,17568.73376,1383031.332
79618.23685,4.566166101,6.669888411,3.49,29636.50711,1072503.238
67019.07405,6.487943167,7.3313301,6.26,24997.10871,1134397.758
56063.48087,5.10693512,5.385339778,4.14,39129.2967,734827.508
57077.5803,5.775467041,6.952026674,4.27,33393.9166,991892.3175
75954.81825,4.289916281,7.418750603,5.04,34467.7587,1057252.583
52575.81517,7.133719417,7.173698882,4.06,41828.57962,1237224.859
63312.80567,6.139115452,8.199615241,4.41,43230.35216,1442632.541
82526.9621,6.453073406,7.748248953,4.46,43947.68026,1877402.32
73204.94213,6.640915863,7.311912321,6.4,35090.50081,1394518.415
56357.19314,5.707903109,5.240300887,3.25,38061.9983,953939.3299
71316.62465,7.107767687,7.088992691,5.33,21651.69941,1219778.034
75046.8482,4.983084629,8.877240042,3,32468.03115,1287325.382
84474.16006,6.970854746,5.935909326,2.47,38677.81515,1739893.555
68162.68393,6.962206716,6.69735801,3.07,31843.87634,1213382.223
62784.33295,7.572350215,4.652717554,3.31,35122.38947,1007478.748
67009.81567,6.849769937,7.610720856,3.22,39737.12261,1528756.126
67437.25036,6.767363237,6.703917223,2.05,29356.22337,1182459.772
65967.76931,6.847724976,7.777279444,3.14,35799.96255,1474546.762
42816.30589,7.603999923,7.04524851,4.18,47457.66221,1078016.94
83347.6697,5.468158427,5.475252653,3.14,48226.71893,1453381.624
81699.88,5.47980183,6.476007341,4.41,39527.04856,1495012.965
56143.78866,4.580122446,6.668979774,4.04,45084.03666,714148.4148
59513.83492,4.885131771,5.57471435,3.18,44162.27921,894292.0474
78379.41224,5.985697151,5.681833507,3.2,31357.38821,1159841.831
70877.37574,6.766877154,7.213659075,5.07,36033.42685,1195986.299
61526.97445,6.593962539,9.180401429,6.11,27307.94803,1381430.63
65316.99602,7.414875231,6.733084867,2,55799.49748,1534889.853
76268.81833,6.942797867,6.147907596,3.17,38649.85239,1494125.33
48531.36423,6.863184039,8.517401059,5.3,39731.15056,1356146.261
82906.6548,5.901451656,5.767366136,4.26,38820.48194,1454943.074
63117.84405,4.940396705,5.636779395,2.31,43091.84514,774118.1878
75860.86115,3.69089057,4.788380207,3.48,41003.88008,889113.2389
68844.76425,4.860453,6.916808181,3.29,48392.49736,1211102.211
52446.26686,5.694610808,7.429639244,3.11,32934.5532,658646.1847
69342.70684,5.804686752,7.805903702,3.36,37082.37422,1400104.871
55932.05268,7.218309145,6.020201205,4,42488.31,1262017.792
53306.92214,4.632267718,6.194794325,2.15,39063.33871,553077.2126
56976.5464,6.061212241,7.259286709,3.08,46375.50249,1203247.89
51296.48863,6.155259764,7.831766476,6.18,32078.9068,1115323.015
63995.00489,7.59753322,7.090050637,5.25,24748.26827,1301881.417
71915.14669,6.279753854,5.521216371,4.47,27714.29366,1006687.387
62137.59721,5.440725043,7.235191288,5.21,19045.61951,749383.0726
78050.96983,5.234044768,6.290305888,4.15,27789.74852,1075596.587
67371.42086,5.333820712,6.624951289,4.37,24797.76476,739870.7936
59362.76638,7.482630242,8.003006746,3.49,44723.35373,1442945.145
57003.10964,7.01058346,6.356258719,3.14,29594.69337,828497.0671
68989.31221,6.075426018,7.879588245,6.37,32629.60383,1373290.861
70969.9021,4.901817799,6.396268006,3.18,24833.64615,925566.3313
82251.65301,7.741091334,7.636653827,6.49,18408.79864,1552536.764
71306.4573,5.773717163,6.68823017,2.04,43284.39716,1335904.501
70921.56857,5.665185385,6.375371505,3.28,29390.21727,960808.2911
70739.4601,6.710699576,7.166501646,6.28,35148.66775,1405933.019
58097.84182,6.386347996,6.144038119,3.04,19903.00008,619087.6936
51273.50885,7.032317226,6.888205629,2.09,53811.89491,1329273.228
76326.59232,5.02469487,4.936329009,3.44,42779.8313,1261843.844
63584.04588,5.832827571,6.029160867,4.29,46340.18858,1175781.418
86340.28729,4.930051,6.183440077,3.01,35630.56045,1437053.557
79471.23882,5.867269778,8.197289421,6.21,36616.16883,1594415.226
55879.50379,6.407946258,5.370386614,2.07,37360.06356,931357.9954
40503.54133,6.881778623,6.566175293,3.14,45979.47754,798639.6542
83394.40783,5.601486668,5.905024344,2.08,30487.52462,1451739.625
64501.22645,6.001641691,7.293476754,5.33,43869.30998,1278991.689
